scheduler,alpha,util,max_ready_len,num_dispatch
EDF,0.5,0.0115,4,961
RM,0.5,0.0115,4,961
FIFO,0.5,0.0115,4,961
EDF,0.75,0.01725,4,1321
RM,0.75,0.01725,4,1321
FIFO,0.75,0.01725,4,1321
EDF,1.0,0.023,4,1381
RM,1.0,0.023,4,1381
FIFO,1.0,0.023,4,1381
EDF,1.25,0.028749999999999998,4,1981
RM,1.25,0.028749999999999998,4,1981
FIFO,1.25,0.028749999999999998,4,1981
EDF,1.5,0.0345,4,2341
RM,1.5,0.0345,4,2341
FIFO,1.5,0.0345,4,2341
