scheduler,alpha,util,steps,steps_per_job
EDF,0.5,0.1,2400,1.0
RM,0.5,0.1,2400,1.0
FIFO,0.5,0.1,2400,1.0
EDF,0.75,0.15000000000000002,2400,1.0
RM,0.75,0.15000000000000002,2400,1.0
FIFO,0.75,0.15000000000000002,2400,1.0
EDF,1.0,0.2,2400,1.0
RM,1.0,0.2,2400,1.0
FIFO,1.0,0.2,2400,1.0
EDF,1.25,0.25,2400,1.0
RM,1.25,0.25,2400,1.0
FIFO,1.25,0.25,2400,1.0
EDF,1.5,0.30000000000000004,2400,1.0
RM,1.5,0.30000000000000004,2400,1.0
FIFO,1.5,0.30000000000000004,2400,1.0
