task,alpha,release,start,finish,deadline,response,waiting,tardiness,miss,utility
Button,0.5,7000.0,7003.0,7004.0,7200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,7200.0,7200.0,7202.0,7400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,7400.0,7400.0,7402.0,7600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,7500.0,7500.0,7501.0,7700.0,1.0,0.0,0.0,0,1.0
Button,0.5,7500.0,7501.0,7502.0,7700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,7600.0,7600.0,7602.0,7800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,7800.0,7800.0,7802.0,8000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,8000.0,8000.0,8002.0,8200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,8000.0,8002.0,8003.0,8200.0,3.0,2.0,0.0,0,1.0
Button,0.5,8000.0,8003.0,8004.0,8200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,8000.0,8004.0,8008.0,10000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,8200.0,8200.0,8202.0,8400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,8400.0,8400.0,8402.0,8600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,8500.0,8500.0,8501.0,8700.0,1.0,0.0,0.0,0,1.0
Button,0.5,8500.0,8501.0,8502.0,8700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,8600.0,8600.0,8602.0,8800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,8800.0,8800.0,8802.0,9000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,9000.0,9000.0,9002.0,9200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,9000.0,9002.0,9003.0,9200.0,3.0,2.0,0.0,0,1.0
Button,0.5,9000.0,9003.0,9004.0,9200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,9200.0,9200.0,9202.0,9400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,9400.0,9400.0,9402.0,9600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,9500.0,9500.0,9501.0,9700.0,1.0,0.0,0.0,0,1.0
Button,0.5,9500.0,9501.0,9502.0,9700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,9600.0,9600.0,9602.0,9800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,9800.0,9800.0,9802.0,10000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,10000.0,10000.0,10002.0,10200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,10000.0,10002.0,10003.0,10200.0,3.0,2.0,0.0,0,1.0
Button,0.5,10000.0,10003.0,10004.0,10200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,10000.0,10004.0,10008.0,12000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,10200.0,10200.0,10202.0,10400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,10400.0,10400.0,10402.0,10600.0,2.0,0.0,0.0,0,1.0
