task,alpha,release,start,finish,deadline,response,waiting,tardiness,miss,utility
Ultra,0.5,31200.0,31200.0,31202.0,31400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,31400.0,31400.0,31402.0,31600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,31500.0,31500.0,31501.0,31700.0,1.0,0.0,0.0,0,1.0
Button,0.5,31500.0,31501.0,31502.0,31700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,31600.0,31600.0,31602.0,31800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,31800.0,31800.0,31802.0,32000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,32000.0,32000.0,32002.0,32200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,32000.0,32002.0,32003.0,32200.0,3.0,2.0,0.0,0,1.0
Button,0.5,32000.0,32003.0,32004.0,32200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,32000.0,32004.0,32008.0,34000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,32200.0,32200.0,32202.0,32400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,32400.0,32400.0,32402.0,32600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,32500.0,32500.0,32501.0,32700.0,1.0,0.0,0.0,0,1.0
Button,0.5,32500.0,32501.0,32502.0,32700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,32600.0,32600.0,32602.0,32800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,32800.0,32800.0,32802.0,33000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,33000.0,33000.0,33002.0,33200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,33000.0,33002.0,33003.0,33200.0,3.0,2.0,0.0,0,1.0
Button,0.5,33000.0,33003.0,33004.0,33200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,33200.0,33200.0,33202.0,33400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,33400.0,33400.0,33402.0,33600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,33500.0,33500.0,33501.0,33700.0,1.0,0.0,0.0,0,1.0
Button,0.5,33500.0,33501.0,33502.0,33700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,33600.0,33600.0,33602.0,33800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,33800.0,33800.0,33802.0,34000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,34000.0,34000.0,34002.0,34200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,34000.0,34002.0,34003.0,34200.0,3.0,2.0,0.0,0,1.0
Button,0.5,34000.0,34003.0,34004.0,34200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,34000.0,34004.0,34008.0,36000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,34200.0,34200.0,34202.0,34400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,34400.0,34400.0,34402.0,34600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,34500.0,34500.0,34501.0,34700.0,1.0,0.0,0.0,0,1.0
Button,0.5,34500.0,34501.0,34502.0,34700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,34600.0,34600.0,34602.0,34800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,34800.0,34800.0,34802.0,35000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,35000.0,35000.0,35002.0,35200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,35000.0,35002.0,35003.0,35200.0,3.0,2.0,0.0,0,1.0
Button,0.5,35000.0,35003.0,35004.0,35200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,35200.0,35200.0,35202.0,35400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,35400.0,35400.0,35402.0,35600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,35500.0,35500.0,35501.0,35700.0,1.0,0.0,0.0,0,1.0
Button,0.5,35500.0,35501.0,35502.0,35700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,35600.0,35600.0,35602.0,35800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,35800.0,35800.0,35802.0,36000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,36000.0,36000.0,36002.0,36200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,36000.0,36002.0,36003.0,36200.0,3.0,2.0,0.0,0,1.0
Button,0.5,36000.0,36003.0,36004.0,36200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,36000.0,36004.0,36008.0,38000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,36200.0,36200.0,36202.0,36400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,36400.0,36400.0,36402.0,36600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,36500.0,36500.0,36501.0,36700.0,1.0,0.0,0.0,0,1.0
Button,0.5,36500.0,36501.0,36502.0,36700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,36600.0,36600.0,36602.0,36800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,36800.0,36800.0,36802.0,37000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,37000.0,37000.0,37002.0,37200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,37000.0,37002.0,37003.0,37200.0,3.0,2.0,0.0,0,1.0
Button,0.5,37000.0,37003.0,37004.0,37200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,37200.0,37200.0,37202.0,37400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,37400.0,37400.0,37402.0,37600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,37500.0,37500.0,37501.0,37700.0,1.0,0.0,0.0,0,1.0
Button,0.5,37500.0,37501.0,37502.0,37700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,37600.0,37600.0,37602.0,37800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,37800.0,37800.0,37802.0,38000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,38000.0,38000.0,38002.0,38200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,38000.0,38002.0,38003.0,38200.0,3.0,2.0,0.0,0,1.0
Button,0.5,38000.0,38003.0,38004.0,38200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,38000.0,38004.0,38008.0,40000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,38200.0,38200.0,38202.0,38400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,38400.0,38400.0,38402.0,38600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,38500.0,38500.0,38501.0,38700.0,1.0,0.0,0.0,0,1.0
Button,0.5,38500.0,38501.0,38502.0,38700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,38600.0,38600.0,38602.0,38800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,38800.0,38800.0,38802.0,39000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,39000.0,39000.0,39002.0,39200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,39000.0,39002.0,39003.0,39200.0,3.0,2.0,0.0,0,1.0
Button,0.5,39000.0,39003.0,39004.0,39200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,39200.0,39200.0,39202.0,39400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,39400.0,39400.0,39402.0,39600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,39500.0,39500.0,39501.0,39700.0,1.0,0.0,0.0,0,1.0
Button,0.5,39500.0,39501.0,39502.0,39700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,39600.0,39600.0,39602.0,39800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,39800.0,39800.0,39802.0,40000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,40000.0,40000.0,40002.0,40200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,40000.0,40002.0,40003.0,40200.0,3.0,2.0,0.0,0,1.0
Button,0.5,40000.0,40003.0,40004.0,40200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,40000.0,40004.0,40008.0,42000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,40200.0,40200.0,40202.0,40400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,40400.0,40400.0,40402.0,40600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,40500.0,40500.0,40501.0,40700.0,1.0,0.0,0.0,0,1.0
Button,0.5,40500.0,40501.0,40502.0,40700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,40600.0,40600.0,40602.0,40800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,40800.0,40800.0,40802.0,41000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,41000.0,41000.0,41002.0,41200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,41000.0,41002.0,41003.0,41200.0,3.0,2.0,0.0,0,1.0
Button,0.5,41000.0,41003.0,41004.0,41200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,41200.0,41200.0,41202.0,41400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,41400.0,41400.0,41402.0,41600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,41500.0,41500.0,41501.0,41700.0,1.0,0.0,0.0,0,1.0
Button,0.5,41500.0,41501.0,41502.0,41700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,41600.0,41600.0,41602.0,41800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,41800.0,41800.0,41802.0,42000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,42000.0,42000.0,42002.0,42200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,42000.0,42002.0,42003.0,42200.0,3.0,2.0,0.0,0,1.0
Button,0.5,42000.0,42003.0,42004.0,42200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,42000.0,42004.0,42008.0,44000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,42200.0,42200.0,42202.0,42400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,42400.0,42400.0,42402.0,42600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,42500.0,42500.0,42501.0,42700.0,1.0,0.0,0.0,0,1.0
Button,0.5,42500.0,42501.0,42502.0,42700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,42600.0,42600.0,42602.0,42800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,42800.0,42800.0,42802.0,43000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,43000.0,43000.0,43002.0,43200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,43000.0,43002.0,43003.0,43200.0,3.0,2.0,0.0,0,1.0
Button,0.5,43000.0,43003.0,43004.0,43200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,43200.0,43200.0,43202.0,43400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,43400.0,43400.0,43402.0,43600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,43500.0,43500.0,43501.0,43700.0,1.0,0.0,0.0,0,1.0
Button,0.5,43500.0,43501.0,43502.0,43700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,43600.0,43600.0,43602.0,43800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,43800.0,43800.0,43802.0,44000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,44000.0,44000.0,44002.0,44200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,44000.0,44002.0,44003.0,44200.0,3.0,2.0,0.0,0,1.0
Button,0.5,44000.0,44003.0,44004.0,44200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,44000.0,44004.0,44008.0,46000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,44200.0,44200.0,44202.0,44400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,44400.0,44400.0,44402.0,44600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,44500.0,44500.0,44501.0,44700.0,1.0,0.0,0.0,0,1.0
Button,0.5,44500.0,44501.0,44502.0,44700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,44600.0,44600.0,44602.0,44800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,44800.0,44800.0,44802.0,45000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,45000.0,45000.0,45002.0,45200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,45000.0,45002.0,45003.0,45200.0,3.0,2.0,0.0,0,1.0
Button,0.5,45000.0,45003.0,45004.0,45200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,45200.0,45200.0,45202.0,45400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,45400.0,45400.0,45402.0,45600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,45500.0,45500.0,45501.0,45700.0,1.0,0.0,0.0,0,1.0
Button,0.5,45500.0,45501.0,45502.0,45700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,45600.0,45600.0,45602.0,45800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,45800.0,45800.0,45802.0,46000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,46000.0,46000.0,46002.0,46200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,46000.0,46002.0,46003.0,46200.0,3.0,2.0,0.0,0,1.0
Button,0.5,46000.0,46003.0,46004.0,46200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,46000.0,46004.0,46008.0,48000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,46200.0,46200.0,46202.0,46400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,46400.0,46400.0,46402.0,46600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,46500.0,46500.0,46501.0,46700.0,1.0,0.0,0.0,0,1.0
Button,0.5,46500.0,46501.0,46502.0,46700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,46600.0,46600.0,46602.0,46800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,46800.0,46800.0,46802.0,47000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,47000.0,47000.0,47002.0,47200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,47000.0,47002.0,47003.0,47200.0,3.0,2.0,0.0,0,1.0
Button,0.5,47000.0,47003.0,47004.0,47200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,47200.0,47200.0,47202.0,47400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,47400.0,47400.0,47402.0,47600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,47500.0,47500.0,47501.0,47700.0,1.0,0.0,0.0,0,1.0
Button,0.5,47500.0,47501.0,47502.0,47700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,47600.0,47600.0,47602.0,47800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,47800.0,47800.0,47802.0,48000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,48000.0,48000.0,48002.0,48200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,48000.0,48002.0,48003.0,48200.0,3.0,2.0,0.0,0,1.0
Button,0.5,48000.0,48003.0,48004.0,48200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,48000.0,48004.0,48008.0,50000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,48200.0,48200.0,48202.0,48400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,48400.0,48400.0,48402.0,48600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,48500.0,48500.0,48501.0,48700.0,1.0,0.0,0.0,0,1.0
Button,0.5,48500.0,48501.0,48502.0,48700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,48600.0,48600.0,48602.0,48800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,48800.0,48800.0,48802.0,49000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,49000.0,49000.0,49002.0,49200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,49000.0,49002.0,49003.0,49200.0,3.0,2.0,0.0,0,1.0
Button,0.5,49000.0,49003.0,49004.0,49200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,49200.0,49200.0,49202.0,49400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,49400.0,49400.0,49402.0,49600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,49500.0,49500.0,49501.0,49700.0,1.0,0.0,0.0,0,1.0
Button,0.5,49500.0,49501.0,49502.0,49700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,49600.0,49600.0,49602.0,49800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,49800.0,49800.0,49802.0,50000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,50000.0,50000.0,50002.0,50200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,50000.0,50002.0,50003.0,50200.0,3.0,2.0,0.0,0,1.0
Button,0.5,50000.0,50003.0,50004.0,50200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,50000.0,50004.0,50008.0,52000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,50200.0,50200.0,50202.0,50400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,50400.0,50400.0,50402.0,50600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,50500.0,50500.0,50501.0,50700.0,1.0,0.0,0.0,0,1.0
Button,0.5,50500.0,50501.0,50502.0,50700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,50600.0,50600.0,50602.0,50800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,50800.0,50800.0,50802.0,51000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,51000.0,51000.0,51002.0,51200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,51000.0,51002.0,51003.0,51200.0,3.0,2.0,0.0,0,1.0
Button,0.5,51000.0,51003.0,51004.0,51200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,51200.0,51200.0,51202.0,51400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,51400.0,51400.0,51402.0,51600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,51500.0,51500.0,51501.0,51700.0,1.0,0.0,0.0,0,1.0
Button,0.5,51500.0,51501.0,51502.0,51700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,51600.0,51600.0,51602.0,51800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,51800.0,51800.0,51802.0,52000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,52000.0,52000.0,52002.0,52200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,52000.0,52002.0,52003.0,52200.0,3.0,2.0,0.0,0,1.0
Button,0.5,52000.0,52003.0,52004.0,52200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,52000.0,52004.0,52008.0,54000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,52200.0,52200.0,52202.0,52400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,52400.0,52400.0,52402.0,52600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,52500.0,52500.0,52501.0,52700.0,1.0,0.0,0.0,0,1.0
Button,0.5,52500.0,52501.0,52502.0,52700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,52600.0,52600.0,52602.0,52800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,52800.0,52800.0,52802.0,53000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,53000.0,53000.0,53002.0,53200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,53000.0,53002.0,53003.0,53200.0,3.0,2.0,0.0,0,1.0
Button,0.5,53000.0,53003.0,53004.0,53200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,53200.0,53200.0,53202.0,53400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,53400.0,53400.0,53402.0,53600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,53500.0,53500.0,53501.0,53700.0,1.0,0.0,0.0,0,1.0
Button,0.5,53500.0,53501.0,53502.0,53700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,53600.0,53600.0,53602.0,53800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,53800.0,53800.0,53802.0,54000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,54000.0,54000.0,54002.0,54200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,54000.0,54002.0,54003.0,54200.0,3.0,2.0,0.0,0,1.0
Button,0.5,54000.0,54003.0,54004.0,54200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,54000.0,54004.0,54008.0,56000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,54200.0,54200.0,54202.0,54400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,54400.0,54400.0,54402.0,54600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,54500.0,54500.0,54501.0,54700.0,1.0,0.0,0.0,0,1.0
Button,0.5,54500.0,54501.0,54502.0,54700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,54600.0,54600.0,54602.0,54800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,54800.0,54800.0,54802.0,55000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,55000.0,55000.0,55002.0,55200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,55000.0,55002.0,55003.0,55200.0,3.0,2.0,0.0,0,1.0
Button,0.5,55000.0,55003.0,55004.0,55200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,55200.0,55200.0,55202.0,55400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,55400.0,55400.0,55402.0,55600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,55500.0,55500.0,55501.0,55700.0,1.0,0.0,0.0,0,1.0
Button,0.5,55500.0,55501.0,55502.0,55700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,55600.0,55600.0,55602.0,55800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,55800.0,55800.0,55802.0,56000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,56000.0,56000.0,56002.0,56200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,56000.0,56002.0,56003.0,56200.0,3.0,2.0,0.0,0,1.0
Button,0.5,56000.0,56003.0,56004.0,56200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,56000.0,56004.0,56008.0,58000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,56200.0,56200.0,56202.0,56400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,56400.0,56400.0,56402.0,56600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,56500.0,56500.0,56501.0,56700.0,1.0,0.0,0.0,0,1.0
Button,0.5,56500.0,56501.0,56502.0,56700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,56600.0,56600.0,56602.0,56800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,56800.0,56800.0,56802.0,57000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,57000.0,57000.0,57002.0,57200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,57000.0,57002.0,57003.0,57200.0,3.0,2.0,0.0,0,1.0
Button,0.5,57000.0,57003.0,57004.0,57200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,57200.0,57200.0,57202.0,57400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,57400.0,57400.0,57402.0,57600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,57500.0,57500.0,57501.0,57700.0,1.0,0.0,0.0,0,1.0
Button,0.5,57500.0,57501.0,57502.0,57700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,57600.0,57600.0,57602.0,57800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,57800.0,57800.0,57802.0,58000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,58000.0,58000.0,58002.0,58200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,58000.0,58002.0,58003.0,58200.0,3.0,2.0,0.0,0,1.0
Button,0.5,58000.0,58003.0,58004.0,58200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,58000.0,58004.0,58008.0,60000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,58200.0,58200.0,58202.0,58400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,58400.0,58400.0,58402.0,58600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,58500.0,58500.0,58501.0,58700.0,1.0,0.0,0.0,0,1.0
Button,0.5,58500.0,58501.0,58502.0,58700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,58600.0,58600.0,58602.0,58800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,58800.0,58800.0,58802.0,59000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,59000.0,59000.0,59002.0,59200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,59000.0,59002.0,59003.0,59200.0,3.0,2.0,0.0,0,1.0
Button,0.5,59000.0,59003.0,59004.0,59200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,59200.0,59200.0,59202.0,59400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,59400.0,59400.0,59402.0,59600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,59500.0,59500.0,59501.0,59700.0,1.0,0.0,0.0,0,1.0
Button,0.5,59500.0,59501.0,59502.0,59700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,59600.0,59600.0,59602.0,59800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,59800.0,59800.0,59802.0,60000.0,2.0,0.0,0.0,0,1.0
Ultra,0.75,0.0,0.0,3.0,200.0,3.0,0.0,0.0,0,1.0
PIR,0.75,0.0,3.0,4.0,200.0,4.0,3.0,0.0,0,1.0
Button,0.75,0.0,4.0,5.0,200.0,5.0,4.0,0.0,0,1.0
Sound,0.75,0.0,5.0,11.0,2000.0,11.0,5.0,0.0,0,1.0
Ultra,0.75,200.0,200.0,203.0,400.0,3.0,0.0,0.0,0,1.0
Ultra,0.75,400.0,400.0,403.0,600.0,3.0,0.0,0.0,0,1.0
PIR,0.75,500.0,500.0,501.0,700.0,1.0,0.0,0.0,0,1.0
Button,0.75,500.0,501.0,502.0,700.0,2.0,1.0,0.0,0,1.0
Ultra,0.75,600.0,600.0,603.0,800.0,3.0,0.0,0.0,0,1.0
Ultra,0.75,800.0,800.0,803.0,1000.0,3.0,0.0,0.0,0,1.0
Ultra,0.75,1000.0,1000.0,1003.0,1200.0,3.0,0.0,0.0,0,1.0
PIR,0.75,1000.0,1003.0,1004.0,1200.0,4.0,3.0,0.0,0,1.0
Button,0.75,1000.0,1004.0,1005.0,1200.0,5.0,4.0,0.0,0,1.0
Ultra,0.75,1200.0,1200.0,1203.0,1400.0,3.0,0.0,0.0,0,1.0
Ultra,0.75,1400.0,1400.0,1403.0,1600.0,3.0,0.0,0.0,0,1.0
PIR,0.75,1500.0,1500.0,1501.0,1700.0,1.0,0.0,0.0,0,1.0
Button,0.75,1500.0,1501.0,1502.0,1700.0,2.0,1.0,0.0,0,1.0
Ultra,0.75,1600.0,1600.0,1603.0,1800.0,3.0,0.0,0.0,0,1.0
Ultra,0.75,1800.0,1800.0,1803.0,2000.0,3.0,0.0,0.0,0,1.0
Ultra,0.75,2000.0,2000.0,2003.0,2200.0,3.0,0.0,0.0,0,1.0
PIR,0.75,2000.0,2003.0,2004.0,2200.0,4.0,3.0,0.0,0,1.0
Button,0.75,2000.0,2004.0,2005.0,2200.0,5.0,4.0,0.0,0,1.0
Sound,0.75,2000.0,2005.0,2011.0,4000.0,11.0,5.0,0.0,0,1.0
Ultra,0.75,2200.0,2200.0,2203.0,2400.0,3.0,0.0,0.0,0,1.0
Ultra,0.75,2400.0,2400.0,2403.0,2600.0,3.0,0.0,0.0,0,1.0
PIR,0.75,2500.0,2500.0,2501.0,2700.0,1.0,0.0,0.0,0,1.0
Button,0.75,2500.0,2501.0,2502.0,2700.0,2.0,1.0,0.0,0,1.0
Ultra,0.75,2600.0,2600.0,2603.0,2800.0,3.0,0.0,0.0,0,1.0
Ultra,0.75,2800.0,2800.0,2803.0,3000.0,3.0,0.0,0.0,0,1.0
Ultra,0.75,3000.0,3000.0,3003.0,3200.0,3.0,0.0,0.0,0,1.0
